"SKU","Produto","Quantidade Vendida","Primeiro Nome","Sobrenome","Loja","Preco Unitario",""
"HL2714","Tablet","4","Jéssica","Resinente","Rio de Janeiro","1600",""
"HL1918","iPhone","3","Stephanie","Gonçalves","Rio de Janeiro","5300",""
"HL7348","SmartWatch","2","Caroline","Aquino","Porto Alegre","1400",""
"HL9962","Android","3","Marcelo","Guadagnino","São Paulo","3400",""
"HL8851","Notebook","1","Guilherme","Vianna","Rio de Janeiro","3500",""
"HL7348","SmartWatch","5","Thiago","Lima","Rio de Janeiro","1400",""
"HL4379","Televisão","2","Lucas","Junior","Recife","2500",""
"HL8851","Notebook","2","Victor","Gomes","Curitiba","3500",""
"HL2714","Tablet","2","Deysiane","Medronho","São Paulo","1600",""
"HL4379","Televisão","4","Jackson","Derossi","São Paulo","2500",""
"HL1918","iPhone","3","Livia","Codeceira","Rio de Janeiro","5300",""
"HL4379","Televisão","3","João","Alves","Curitiba","2500",""
"HL2714","Tablet","5","Lucas","Costa","Fortaleza","1600",""
"HL9962","Android","5","Thales","Fanara","Curitiba","3400",""
"HL1148","Câmera","2","Victor","Lira","São Paulo","2100",""
"HL1918","iPhone","1","João","Abraçado","São Paulo","5300",""
"HL1918","iPhone","3","Victoria","Tavares","Rio de Janeiro","5300",""
"HL4379","Televisão","3","Jonatas","Essaber","Curitiba","2500",""
"HL4379","Televisão","4","Luíza","Goulart","Recife","2500",""
"HL1148","Câmera","4","Ulisses","Filho","Porto Alegre","2100",""
"HL1148","Câmera","4","Matheus","Gomes","São Paulo","2100",""
"HL1918","iPhone","1","João","Aires","Rio de Janeiro","5300",""
"HL1918","iPhone","2","Breno","Caputo","Salvador","5300",""
"HL1918","iPhone","3","Aline","Andrade","Porto Alegre","5300",""
"HL1918","iPhone","4","Lucas","Fontoura","São Paulo","5300",""
"HL7348","SmartWatch","2","Pedro","Rodrigues","Goiás","1400",""
"HL1148","Câmera","3","Carla","Zakhm","Recife","2100",""
"HL1148","Câmera","4","Lucas","Aragão","Rio de Janeiro","2100",""
"HL1918","iPhone","1","Raul","Junqueira","Fortaleza","5300",""
"HL1918","iPhone","4","Victor","Soares","Salvador","5300",""
"HL1148","Câmera","3","Carolina","Rocha","Rio de Janeiro","2100",""
"HL4379","Televisão","1","Caio","Fernandes","Rio de Janeiro","2500",""
"HL1918","iPhone","4","Rubens","Netto","Fortaleza","5300",""
"HL1918","iPhone","2","Isabel","Leite","Fortaleza","5300",""
"HL1148","Câmera","2","Mariana","Barrozo","São Paulo","2100",""
"HL4379","Televisão","2","Raíza","Lopes","Belo Horizonte","2500",""
"HL4379","Televisão","4","Débora","Lopes","Fortaleza","2500",""
"HL1918","iPhone","3","Beatriz","Cavalcanti","Curitiba","5300",""
"HL4379","Televisão","2","Pedro","Rodrigues","Salvador","2500",""
"HL4379","Televisão","4","Maurício","Dias","São Paulo","2500",""
"HL8851","Notebook","4","Allan","Candido","Recife","3500",""
"HL4379","Televisão","5","Alexandre","Dantas","Porto Alegre","2500",""
"HL1918","iPhone","4","Bianca","Ferezin","Curitiba","5300",""
"HL4379","Televisão","2","Roberta","Pimenta","Rio de Janeiro","2500",""
"HL2714","Tablet","3","Caio","Cardoso","Goiás","1600",""
"HL8851","Notebook","1","Paola","Abreu","Belo Horizonte","3500",""
"HL8851","Notebook","1","Gustavo","Gomes","São Paulo","3500",""
"HL9962","Android","3","Wilson","Meirelles","Salvador","3400",""
"HL8851","Notebook","3","Wilson","Vianna","Porto Alegre","3500",""
"HL1918","iPhone","1","Raphael","Guedes","Rio de Janeiro","5300",""
"HL1148","Câmera","2","Laura","Araujo","Curitiba","2100",""
"HL2714","Tablet","4","Lucas","Freire","Goiás","1600",""
"HL4379","Televisão","1","David","Assumpção","Rio de Janeiro","2500",""
"HL9962","Android","5","Marina","Mesquita","São Paulo","3400",""
"HL1148","Câmera","3","Ana","Michetti","São Paulo","2100",""
"HL7348","SmartWatch","5","Bárbara","Lima","Recife","1400",""
"HL9962","Android","5","Diego","Marchesi","Salvador","3400",""
"HL4379","Televisão","5","Bruno","Ursulino","Salvador","2500",""
"HL9962","Android","5","Caio","Fernandes","Goiás","3400",""
"HL1918","iPhone","3","Rilson","Dias","Fortaleza","5300",""
"HL7348","SmartWatch","3","Carlos","Barbosa","Porto Alegre","1400",""
"HL1918","iPhone","4","Kim","Ferreira","Goiás","5300",""
"HL9962","Android","1","Rafael","Portela","São Paulo","3400",""
"HL4379","Televisão","4","Beatriz","Rocha","Goiás","2500",""
"HL1918","iPhone","3","Roberta","Nogueira","Porto Alegre","5300",""
"HL2714","Tablet","3","Bianca","Ferezin","São Paulo","1600",""
"HL8851","Notebook","2","Lucas","Costa","Fortaleza","3500",""
"HL4379","Televisão","2","Leandro","Ferreira","Goiás","2500",""
"HL4379","Televisão","3","Bernardo","Souza","Curitiba","2500",""
"HL1918","iPhone","3","Eduardo","Nunes","Fortaleza","5300",""
"HL7348","SmartWatch","1","Pedro","Rodrigues","Porto Alegre","1400",""
"HL4379","Televisão","5","Fernanda","Junior","São Paulo","2500",""
"HL1148","Câmera","3","Juan","Fernandes","Recife","2100",""
"HL9962","Android","3","Rodrigo","Alves","São Paulo","3400",""
"HL1918","iPhone","1","Thomáz","Bôas","Goiás","5300",""
"HL7348","SmartWatch","5","Andreza","Ramos","Fortaleza","1400",""
"HL8851","Notebook","4","Carla","Zakhm","São Paulo","3500",""
"HL2714","Tablet","2","Gabrielle","Porto","Recife","1600",""
"HL2714","Tablet","4","Kimberly","Sad","Salvador","1600",""
"HL7348","SmartWatch","1","João","Capitulo","Curitiba","1400",""
"HL1148","Câmera","1","Marina","Marins","Salvador","2100",""
"HL1148","Câmera","1","Aline","Morais","Rio de Janeiro","2100",""
"HL8851","Notebook","1","João","Monteiro","São Paulo","3500",""
"HL8851","Notebook","4","Marina","Delgado","Belo Horizonte","3500",""
"HL2714","Tablet","1","Sthefeson","Barroso","São Paulo","1600",""
"HL4379","Televisão","4","Marcelo","Guadagnino","Fortaleza","2500",""
"HL1918","iPhone","1","Thais","Rodrigues","Rio de Janeiro","5300",""
"HL9962","Android","4","Philipe","Morete","Goiás","3400",""
"HL4379","Televisão","2","Ravena","Bhering","Porto Alegre","2500",""
"HL1148","Câmera","2","Patrícia","Amaral","São Paulo","2100",""
"HL1918","iPhone","3","Diego","Rodrigues","São Paulo","5300",""
"HL1918","iPhone","3","Katharina","Barros","Fortaleza","5300",""
"HL4379","Televisão","3","Felipe","Jorge","Goiás","2500",""
"HL1918","iPhone","3","Rafaela","Ferreira","Fortaleza","5300",""
"HL2714","Tablet","5","Bruna","Gomes","Porto Alegre","1600",""
"HL4379","Televisão","3","João","Rodrigues","Rio de Janeiro","2500",""
"HL1918","iPhone","5","Stephanie","Gonçalves","Rio de Janeiro","5300",""
"HL9962","Android","4","Gabriella","Sagrillo","Fortaleza","3400",""
"HL2714","Tablet","4","Felipe","Mendonça","São Paulo","1600",""
"HL4379","Televisão","5","Pedro","Sena","Rio de Janeiro","2500",""
"HL7348","SmartWatch","1","Luiza","Farias","Salvador","1400",""
"HL9962","Android","2","Samara","Pinto","São Paulo","3400",""
"HL2714","Tablet","2","Philipe","Morete","Rio de Janeiro","1600",""
"HL4379","Televisão","2","Larissa","Florim","Rio de Janeiro","2500",""
"HL1918","iPhone","1","Paloma","Sperandei","São Paulo","5300",""
"HL4379","Televisão","1","Arthur","Souza","Salvador","2500",""
"HL4379","Televisão","4","Platini","Heimlich","Rio de Janeiro","2500",""
"HL4379","Televisão","4","Dykson","Silva","São Paulo","2500",""
"HL9962","Android","2","Catarina","Teixeira","Salvador","3400",""
"HL9962","Android","2","João","Junior","Goiás","3400",""
"HL2714","Tablet","4","Priscila","Carvalho","São Paulo","1600",""
"HL9962","Android","5","Gustavo","Azevedo","Rio de Janeiro","3400",""
"HL4379","Televisão","4","Daniela","Rosa","São Paulo","2500",""
"HL2714","Tablet","4","Isabelle","Firmino","Rio de Janeiro","1600",""
"HL1918","iPhone","4","Roberto","Tiradentes","São Paulo","5300",""
"HL1918","iPhone","4","Marina","Gama","Goiás","5300",""
"HL1148","Câmera","4","Caio","Silva","Rio de Janeiro","2100",""
"HL8851","Notebook","5","Giovana","Vilela","Belo Horizonte","3500",""
"HL4379","Televisão","5","Adriana","Carneiro","Rio de Janeiro","2500",""
"HL1918","iPhone","1","Lucas","Fontoura","São Paulo","5300",""
"HL4379","Televisão","3","Roberta","Nogueira","Fortaleza","2500",""
"HL9962","Android","3","Bianca","Paz","Porto Alegre","3400",""
"HL8851","Notebook","3","Renan","Melo","Curitiba","3500",""
"HL1918","iPhone","4","Ana","Monte","São Paulo","5300",""
"HL9962","Android","2","João","Júnior","Salvador","3400",""
"HL4379","Televisão","4","Rilson","Guedes","Goiás","2500",""
"HL1148","Câmera","4","Juliana","Silva","São Paulo","2100",""
"HL4379","Televisão","3","João","Guadagnino","Fortaleza","2500",""
"HL1148","Câmera","5","Michelle","Figueiredo","Fortaleza","2100",""
"HL1918","iPhone","2","Brenno","Santos","Rio de Janeiro","5300",""
"HL2714","Tablet","1","Rafaela","Gonçalves","Salvador","1600",""
"HL4379","Televisão","1","Pedro","Delgado","São Paulo","2500",""
"HL4379","Televisão","1","Vanessa","Bach","São Paulo","2500",""
"HL1918","iPhone","4","Felipe","Mello","Goiás","5300",""
"HL1918","iPhone","4","Luis","Souza","São Paulo","5300",""
"HL8851","Notebook","1","Gabrielle","Vasconcelos","Rio de Janeiro","3500",""
"HL4379","Televisão","1","Marcela","Medeiros","Rio de Janeiro","2500",""
"HL1918","iPhone","2","Eduardo","Silva","Recife","5300",""
"HL1918","iPhone","4","Matheus","Delgado","Salvador","5300",""
"HL1918","iPhone","2","Matheus","Miranda","Fortaleza","5300",""
"HL7348","SmartWatch","4","Eric","Carvalho","Rio de Janeiro","1400",""
"HL4379","Televisão","3","Khaio","Mesquita","São Paulo","2500",""
"HL4379","Televisão","2","Guilherme","Lima","Porto Alegre","2500",""
"HL2714","Tablet","2","Carlos","Silva","Salvador","1600",""
"HL1918","iPhone","2","Matheus","Figueiredo","Salvador","5300",""
"HL1918","iPhone","5","Gabriel","Brito","Belo Horizonte","5300",""
"HL7348","SmartWatch","1","Amanda","Delgado","Belo Horizonte","1400",""
"HL8851","Notebook","2","Thales","Santos","Rio de Janeiro","3500",""
"HL1918","iPhone","5","Isabella","Scalabrin","Belo Horizonte","5300",""
"HL2714","Tablet","2","Diogo","Ressurreição","São Paulo","1600",""
"HL4379","Televisão","5","Mônica","Rotolo","Fortaleza","2500",""
"HL2714","Tablet","5","Lucas","Lima","São Paulo","1600",""
"HL4379","Televisão","5","Sthefeson","Pereira","Curitiba","2500",""
"HL7348","SmartWatch","1","Guilherme","Lima","Curitiba","1400",""
"HL1918","iPhone","4","Eduardo","Pacheco","Curitiba","5300",""
"HL1918","iPhone","2","Adrielle","Vieira","Rio de Janeiro","5300",""
"HL8851","Notebook","3","Beatriz","Silva","Goiás","3500",""
"HL1918","iPhone","3","Raphael","Ferman","Recife","5300",""
"HL8851","Notebook","1","Juliana","Correa","Fortaleza","3500",""
"HL1918","iPhone","5","Guilherme","Monteiro","Belo Horizonte","5300",""
"HL9962","Android","2","Lucas","Freire","Fortaleza","3400",""
"HL7348","SmartWatch","3","Vanessa","Rodrigues","Goiás","1400",""
"HL4379","Televisão","1","Jonatas","Passos","Fortaleza","2500",""
"HL1918","iPhone","1","Anna","Silva","Curitiba","5300",""
"HL1918","iPhone","5","Caio","Moraes","Fortaleza","5300",""
"HL1148","Câmera","2","Pedro","Santos","Rio de Janeiro","2100",""
"HL4379","Televisão","5","Clara","Bruno","Porto Alegre","2500",""
"HL9962","Android","5","Vinícius","Antunes","Salvador","3400",""
"HL7348","SmartWatch","4","Giuseppe","Borges","Curitiba","1400",""
"HL1918","iPhone","3","José","Vieira","São Paulo","5300",""
"HL9962","Android","1","Camilla","Vieira","Rio de Janeiro","3400",""
"HL9962","Android","4","Giovana","Vilela","Porto Alegre","3400",""
"HL9962","Android","4","Thomáz","Bôas","Salvador","3400",""
"HL8851","Notebook","3","Daniel","Nauenberg","Fortaleza","3500",""
"HL7348","SmartWatch","4","Camila","Bastazini","Goiás","1400",""
"HL1918","iPhone","2","Viviane","Souza","Fortaleza","5300",""
"HL8851","Notebook","2","Isabela","Resende","Salvador","3500",""
"HL9962","Android","3","Roberta","Teixeira","Rio de Janeiro","3400",""
"HL1918","iPhone","4","Victor","Oliveira","Curitiba","5300",""
"HL2714","Tablet","3","João","Menezes","Curitiba","1600",""
"HL1918","iPhone","3","Marina","Aragão","Fortaleza","5300",""
"HL1918","iPhone","1","Bárbara","Cavalcante","Salvador","5300",""
"HL1148","Câmera","4","Breno","Costa","Salvador","2100",""
"HL4379","Televisão","5","Sthefeson","Barroso","Salvador","2500",""
"HL1918","iPhone","1","Carlos","Azevedo","Salvador","5300",""
"HL1918","iPhone","1","João","Silva","Rio de Janeiro","5300",""
"HL1918","iPhone","3","Eduardo","Veiga","Rio de Janeiro","5300",""
"HL1148","Câmera","3","Wilson","Brandão","Rio de Janeiro","2100",""
"HL4379","Televisão","4","Rilson","Guedes","Recife","2500",""
"HL2714","Tablet","1","Bernardo","Borges","Salvador","1600",""
"HL4379","Televisão","3","Isabel","Lacerda","Belo Horizonte","2500",""
"HL4379","Televisão","5","Carlos","Melo","Curitiba","2500",""
"HL2714","Tablet","2","Marina","Marins","São Paulo","1600",""
"HL1918","iPhone","4","Julia","Teixeira","Goiás","5300",""
"HL1918","iPhone","5","Roberto","Mattos","Curitiba","5300",""
"HL2714","Tablet","2","Raissa","Sales","Goiás","1600",""
"HL1918","iPhone","1","Tiago","Pereira","São Paulo","5300",""
"HL1918","iPhone","1","Katharina","Barros","Rio de Janeiro","5300",""
"HL8851","Notebook","5","Matheus","Afonso","Salvador","3500",""
"HL1918","iPhone","4","Rafael","Ramos","Salvador","5300",""
"HL4379","Televisão","3","Guilherme","Monteiro","Salvador","2500",""
"HL1918","iPhone","4","Larissa","Vasconcellos","São Paulo","5300",""
"HL1148","Câmera","2","Antonio","Bernhardt","Fortaleza","2100",""
"HL9962","Android","2","Amanda","Delgado","São Paulo","3400",""
"HL8851","Notebook","5","Arthur","Rocha","São Paulo","3500",""
"HL7348","SmartWatch","4","Matheus","Gomes","Curitiba","1400",""
"HL1918","iPhone","3","Paola","Abreu","Recife","5300",""
"HL9962","Android","2","Jonatas","Essaber","Fortaleza","3400",""
"HL1918","iPhone","2","Luana","Santos","São Paulo","5300",""
"HL1918","iPhone","1","Lorena","Carvalho","Goiás","5300",""
"HL4379","Televisão","4","Leonardo","Ferreira","Porto Alegre","2500",""
"HL7348","SmartWatch","5","Leandro","Rodrigues","Salvador","1400",""
"HL4379","Televisão","5","Marcelo","Guadagnino","Rio de Janeiro","2500",""
"HL1918","iPhone","3","João","Peçanha","Recife","5300",""
"HL1918","iPhone","2","Tayla","Lima","São Paulo","5300",""
"HL8851","Notebook","5","Isabela","Resende","Salvador","3500",""
"HL4379","Televisão","1","Lucas","Junior","São Paulo","2500",""
"HL1918","iPhone","4","Raissa","Sales","Salvador","5300",""
"HL9962","Android","3","Victor","Ferreira","Recife","3400",""
"HL7348","SmartWatch","5","Patrick","Silva","Recife","1400",""
"HL1918","iPhone","2","Gabrielle","Silva","Porto Alegre","5300",""
"HL7348","SmartWatch","4","Beatriz","Biase","Goiás","1400",""
"HL1918","iPhone","5","Bernard","Pedrosa","Recife","5300",""
"HL1918","iPhone","4","Victor","Zakhm","Rio de Janeiro","5300",""
"HL9962","Android","5","Bernardo","Nauenberg","Fortaleza","3400",""
"HL7348","SmartWatch","3","Isabella","Rodrigues","Rio de Janeiro","1400",""
"HL1918","iPhone","1","Giselia","Thiele","São Paulo","5300",""
"HL1918","iPhone","3","Natalia","Guedes","São Paulo","5300",""
"HL1918","iPhone","4","Hanna","Fonseca","Salvador","5300",""
"HL1918","iPhone","1","Dykson","Silva","São Paulo","5300",""
"HL8851","Notebook","5","Clara","Silveira","Curitiba","3500",""
"HL8851","Notebook","1","Lucas","Freire","São Paulo","3500",""
"HL9962","Android","1","João","Matheus","São Paulo","3400",""
"HL2714","Tablet","1","Andressa","Rotsztejn","São Paulo","1600",""
"HL1148","Câmera","5","Natalia","Andrade","Rio de Janeiro","2100",""
"HL7348","SmartWatch","2","Juliana","Silva","São Paulo","1400",""
"HL4379","Televisão","3","Pedro","Lyra","Rio de Janeiro","2500",""
"HL4379","Televisão","1","Cézar","Santos","São Paulo","2500",""
"HL4379","Televisão","2","Sandy","Figueiredo","Rio de Janeiro","2500",""
"HL1918","iPhone","5","Ana","Silva","Rio de Janeiro","5300",""
"HL1148","Câmera","4","Juliana","Goes","Goiás","2100",""
"HL7348","SmartWatch","1","Juliana","Barreira","Fortaleza","1400",""
"HL1918","iPhone","5","Bruno","Barcessat","São Paulo","5300",""
"HL4379","Televisão","5","Luiza","Cabral","São Paulo","2500",""
"HL2714","Tablet","4","Aline","Morais","Belo Horizonte","1600",""
"HL2714","Tablet","3","José","Fonseca","São Paulo","1600",""
"HL4379","Televisão","2","Morgana","Correa","São Paulo","2500",""
"HL2714","Tablet","2","Isabela","Rodrigues","Belo Horizonte","1600",""
"HL1918","iPhone","2","Rodrigo","Alves","Fortaleza","5300",""
"HL2714","Tablet","1","Catarina","Teixeira","Recife","1600",""
"HL1148","Câmera","5","Antonio","Bernhardt","Curitiba","2100",""
"HL4379","Televisão","3","Iuri","Barbosa","Porto Alegre","2500",""
"HL1148","Câmera","2","Victor","Lira","Rio de Janeiro","2100",""
"HL4379","Televisão","5","Lucas","Lemos","Fortaleza","2500",""
"HL9962","Android","2","Jonatas","Passos","Curitiba","3400",""
"HL7348","SmartWatch","5","Wendela","Mariz","Fortaleza","1400",""
"HL2714","Tablet","5","Bárbara","Cavalcante","Porto Alegre","1600",""
"HL4379","Televisão","3","Aline","Andrade","Belo Horizonte","2500",""
"HL1918","iPhone","4","Lucas","Baptista","São Paulo","5300",""
"HL1918","iPhone","1","Bruna","Franco","São Paulo","5300",""
"HL8851","Notebook","4","Daniel","Felippe","São Paulo","3500",""
"HL1918","iPhone","3","Izabel","Miura","Recife","5300",""
"HL4379","Televisão","5","William","Mendonça","Rio de Janeiro","2500",""
"HL1148","Câmera","5","Mateus","Franco","Salvador","2100",""
"HL1148","Câmera","4","Letícia","Leal","Rio de Janeiro","2100",""
"HL2714","Tablet","3","João","Menezes","Recife","1600",""
"HL1918","iPhone","5","Rachel","Silva","Fortaleza","5300",""
"HL1918","iPhone","5","Bianca","Paz","São Paulo","5300",""
"HL1918","iPhone","1","Rodrigo","Ramos","Fortaleza","5300",""
"HL1148","Câmera","4","Juliana","Barreira","Salvador","2100",""
"HL1918","iPhone","5","Tadeu","Sousa","São Paulo","5300",""
"HL7348","SmartWatch","1","Vanessa","Bach","São Paulo","1400",""
"HL7348","SmartWatch","1","Adrielle","Gabriel","São Paulo","1400",""
"HL4379","Televisão","3","Marina","Miranda","São Paulo","2500",""
"HL4379","Televisão","3","Lucas","Lima","Porto Alegre","2500",""
"HL1918","iPhone","5","Caio","Affonso","Salvador","5300",""
"HL4379","Televisão","2","Norman","Jimbo","Rio de Janeiro","2500",""
"HL2714","Tablet","3","Laís","Oliveira","São Paulo","1600",""
"HL1148","Câmera","4","Gabriel","Soares","Salvador","2100",""
"HL2714","Tablet","4","Carolina","Carneiro","Rio de Janeiro","1600",""
"HL1918","iPhone","3","Raísa","Rodrigues","Rio de Janeiro","5300",""
"HL1918","iPhone","3","Elena","Barreto","Rio de Janeiro","5300",""
"HL1918","iPhone","1","Bruno","Ursulino","Curitiba","5300",""
"HL1918","iPhone","5","Guilherme","Monteiro","Goiás","5300",""
"HL1918","iPhone","4","Rafaela","Gomes","Goiás","5300",""
"HL1918","iPhone","5","Milena","Alcoforado","Salvador","5300",""
"HL1918","iPhone","3","Rafaela","Gomes","Porto Alegre","5300",""
"HL1148","Câmera","2","Henrique","Oliveira","São Paulo","2100",""
"HL1918","iPhone","3","Arthur","Souza","Porto Alegre","5300",""
"HL8851","Notebook","2","Alon","Guedes","Curitiba","3500",""
"HL1148","Câmera","1","Eduardo","Soares","Rio de Janeiro","2100",""
"HL2714","Tablet","4","Bruna","Soares","Rio de Janeiro","1600",""
"HL4379","Televisão","1","Arthur","Fernandes","Rio de Janeiro","2500",""
"HL2714","Tablet","3","Victor","Lira","Curitiba","1600",""
"HL1918","iPhone","3","Juliana","Mesquita","Salvador","5300",""
"HL7348","SmartWatch","1","Michelle","Figueiredo","Fortaleza","1400",""
"HL2714","Tablet","2","Arthur","Rocha","São Paulo","1600",""
"HL8851","Notebook","1","Anderson","Martins","Recife","3500",""
"HL4379","Televisão","5","Adriane","Chagas","São Paulo","2500",""
"HL4379","Televisão","5","Thales","Portillo","Porto Alegre","2500",""
"HL1148","Câmera","5","Beatriz","Perdomo","Salvador","2100",""
"HL1148","Câmera","5","Beatriz","Rocha","Curitiba","2100",""
"HL4379","Televisão","1","Gabriel","Brito","Rio de Janeiro","2500",""
"HL9962","Android","3","Gustavo","Azevedo","Porto Alegre","3400",""
"HL9962","Android","1","Andre","Nóbrega","Salvador","3400",""
"HL4379","Televisão","3","Adrielle","Gabriel","Salvador","2500",""
"HL2714","Tablet","4","Alon","Palmeira","Rio de Janeiro","1600",""
"HL9962","Android","3","Anna","Figueiredo","Rio de Janeiro","3400",""
"HL8851","Notebook","2","Raíza","Lopes","São Paulo","3500",""
"HL1918","iPhone","1","Renan","Cunha","São Paulo","5300",""
"HL7348","SmartWatch","1","Cézar","Santos","Fortaleza","1400",""
"HL9962","Android","4","Hércules","Moreira","Fortaleza","3400",""
"HL2714","Tablet","1","Ives","Barbosa","Fortaleza","1600",""
"HL9962","Android","2","José","Jesus","Fortaleza","3400",""
"HL2714","Tablet","1","Rebeca","Taylor","Recife","1600",""
"HL4379","Televisão","5","Guilherme","Lima","Fortaleza","2500",""
"HL1918","iPhone","2","Raul","Junqueira","Belo Horizonte","5300",""
"HL1918","iPhone","5","Cézar","Santos","Rio de Janeiro","5300",""
"HL4379","Televisão","4","Izabel","Miura","Rio de Janeiro","2500",""
"HL7348","SmartWatch","5","Ives","Teixeira","Fortaleza","1400",""
"HL9962","Android","1","Lívia","Marques","Salvador","3400",""
"HL2714","Tablet","5","Lucas","Costa","São Paulo","1600",""
"HL1918","iPhone","5","Lucas","Monte","Fortaleza","5300",""
"HL4379","Televisão","2","William","Mendonça","Goiás","2500",""
"HL1918","iPhone","5","Thainá","Binello","São Paulo","5300",""
"HL2714","Tablet","1","Lucas","Lemos","Belo Horizonte","1600",""
"HL1918","iPhone","1","Stefan","Nunes","Porto Alegre","5300",""
"HL8851","Notebook","3","Mariana","Baptista","Porto Alegre","3500",""
"HL8851","Notebook","5","Vitor","Campos","Fortaleza","3500",""
"HL7348","SmartWatch","2","Maria","Cardoso","São Paulo","1400",""
"HL2714","Tablet","5","Patrícia","Ferreira","Porto Alegre","1600",""
"HL1148","Câmera","4","Gabriela","Mello","Fortaleza","2100",""
"HL1918","iPhone","4","Gustavo","Aragão","Rio de Janeiro","5300",""
"HL1918","iPhone","4","Lara","Moreira","Fortaleza","5300",""
